ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0042254	ribosome biogenesis	23/74	66/1313	3.18692918576837e-14	2.84911469207692e-11	2.31807164985889e-11	RRP8/EFG1/RPA12/BUD21/NEW1/BUD22/PIH1/SSF1/NUP120/NOP6/RPS21A/LTV1/SLX9/TMA23/DBP3/RSA3/ARX1/NAP1/TOM1/NOP12/BUD20/LRP1/SAC3	23
BP	GO:0022613	ribonucleoprotein complex biogenesis	23/74	85/1313	1.47970922929475e-11	6.61430025494755e-09	5.38146882864566e-09	RRP8/EFG1/RPA12/BUD21/NEW1/BUD22/PIH1/SSF1/NUP120/NOP6/RPS21A/LTV1/SLX9/TMA23/DBP3/RSA3/ARX1/NAP1/TOM1/NOP12/BUD20/LRP1/SAC3	23
BP	GO:0042274	ribosomal small subunit biogenesis	12/74	20/1313	3.69910012934247e-11	1.10233183854406e-08	8.96869540131805e-09	EFG1/BUD21/NEW1/BUD22/NOP6/RPS21A/LTV1/SLX9/TMA23/NAP1/TOM1/SAC3	12
BP	GO:0000070	mitotic sister chromatid segregation	16/74	54/1313	7.99636565722009e-09	1.78718772438869e-06	1.45407596556292e-06	BIM1/CHL1/ESC2/CDH1/RMI1/CIN8/CDC26/DCC1/CTF19/CTF18/MND2/TOP3/CTF8/SWM1/MCM21/MRC1	16
BP	GO:0007064	mitotic sister chromatid cohesion	11/74	26/1313	3.39835878454992e-08	5.15865064924412e-06	4.19713599273247e-06	BIM1/CHL1/ESC2/RMI1/DCC1/CTF19/CTF18/TOP3/CTF8/MCM21/MRC1	11
BP	GO:0000819	sister chromatid segregation	17/74	67/1313	3.462181643788e-08	5.15865064924412e-06	4.19713599273247e-06	BIM1/CHL1/ESC2/CDH1/RMI1/CIN8/CDC26/RTS1/DCC1/CTF19/CTF18/MND2/TOP3/CTF8/SWM1/MCM21/MRC1	17
BP	GO:0140014	mitotic nuclear division	17/74	68/1313	4.41882860584809e-08	5.64347539089742e-06	4.59159483705419e-06	BIM1/CHL1/ESC2/CDH1/RMI1/CIN8/CDC26/RTS1/DCC1/CTF19/CTF18/MND2/TOP3/CTF8/SWM1/MCM21/MRC1	17
BP	GO:0006364	rRNA processing	13/74	42/1313	1.39472248416961e-07	1.55860237605954e-05	1.26809636389632e-05	RRP8/EFG1/BUD21/BUD22/PIH1/SSF1/NOP6/RPS21A/SLX9/DBP3/TOM1/NOP12/LRP1	13
BP	GO:0007062	sister chromatid cohesion	12/74	38/1313	3.51732273130816e-07	3.49387391309944e-05	2.84265497933794e-05	BIM1/CHL1/ESC2/RMI1/RTS1/DCC1/CTF19/CTF18/TOP3/CTF8/MCM21/MRC1	12
BP	GO:0098813	nuclear chromosome segregation	17/74	81/1313	7.13737268252758e-07	6.38081117817966e-05	5.19149949855427e-05	BIM1/CHL1/ESC2/CDH1/RMI1/CIN8/CDC26/RTS1/DCC1/CTF19/CTF18/MND2/TOP3/CTF8/SWM1/MCM21/MRC1	17
