ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007064	mitotic sister chromatid cohesion	10/39	26/1472	1.97519903025322e-10	1.18511941815193e-07	9.27303965782038e-08	YER016W/YPL008W/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YPL024W	10
BP	GO:0000070	mitotic sister chromatid segregation	12/39	57/1472	6.11414804745556e-09	1.83424441423667e-06	1.43521580482378e-06	YER016W/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YPL024W/YMR190C	12
BP	GO:0007062	sister chromatid cohesion	10/39	38/1472	1.40989176987955e-08	2.73331723705164e-06	2.13870085565795e-06	YER016W/YPL008W/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YPL024W	10
BP	GO:0042274	ribosomal small subunit biogenesis	8/39	21/1472	1.82221149136776e-08	2.73331723705164e-06	2.13870085565795e-06	YOR078W/YMR014W/YGR271C-A/YKL143W/YLR048W/YKR057W/YDR159W/YLR435W	8
BP	GO:0000819	sister chromatid segregation	12/39	71/1472	8.63846213684603e-08	8.63846213684603e-06	6.75921774216374e-06	YER016W/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YPL024W/YMR190C	12
BP	GO:0042254	ribosome biogenesis	12/39	71/1472	8.63846213684603e-08	8.63846213684603e-06	6.75921774216374e-06	YOR078W/YMR014W/YGR271C-A/YKL143W/YKL057C/YHR034C/YJR063W/YLR048W/YKR057W/YDR083W/YDR159W/YLR435W	12
BP	GO:0140014	mitotic nuclear division	12/39	72/1472	1.01835878737483e-07	8.72878960606996e-06	6.82989502510036e-06	YER016W/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YPL024W/YMR190C	12
BP	GO:0098813	nuclear chromosome segregation	12/39	86/1472	7.8952408255587e-07	5.92143061916902e-05	4.6332597476305e-05	YER016W/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YPL024W/YMR190C	12
BP	GO:0030490	maturation of SSU-rRNA	6/39	15/1472	9.79669815343555e-07	6.53113210229037e-05	5.11032441687983e-05	YOR078W/YMR014W/YGR271C-A/YLR048W/YKR057W/YLR435W	6
BP	GO:0006259	DNA metabolic process	20/39	260/1472	1.24306846352596e-06	7.45841078115578e-05	5.83587931297452e-05	YPL008W/YMR078C/YPR135W/YHR191C/YCL016C/YDR363W/YIL009C-A/YDR174W/YDR318W/YML062C/YKL057C/YAR002W/YCR066W/YML032C/YPL024W/YDR159W/YMR190C/YOL072W/YHR167W/YHR134W	20
BP	GO:0022613	ribonucleoprotein complex biogenesis	12/39	91/1472	1.48943668312494e-06	7.87297409229024e-05	6.16025692133587e-05	YOR078W/YMR014W/YGR271C-A/YKL143W/YKL057C/YHR034C/YJR063W/YLR048W/YKR057W/YDR083W/YDR159W/YLR435W	12
BP	GO:0071426	ribonucleoprotein complex export from nucleus	9/39	47/1472	1.62152930848166e-06	7.87297409229024e-05	6.16025692133587e-05	YKL143W/YML062C/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YOL072W/YHR167W	9
BP	GO:0051276	chromosome organization	22/39	319/1472	1.70581105332955e-06	7.87297409229024e-05	6.16025692133587e-05	YER016W/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YIL009C-A/YDR174W/YDR318W/YKL057C/YAR002W/YCR066W/YML032C/YPL024W/YDR159W/YMR190C/YOL072W/YHR167W/YOR295W	22
