ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0051276	chromosome organization	36/78	192/1474	1.18354755788142e-13	1.06164215941964e-10	8.77071032366865e-11	YER016W/YGL003C/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YLR233C/YIL009C-A/YDR174W/YLR052W/YDR318W/YLR320W/YMR224C/YKL057C/YAR002W/YCR066W/YKL113C/YNL250W/YML032C/YGL163C/YDR004W/YPL024W/YOR001W/YOR014W/YLL002W/YDR159W/YMR190C/YDL013W/YER116C/YOL072W/TLC1/YLR234W	36
BP	GO:0042274	ribosomal small subunit biogenesis	13/78	21/1474	1.35520103253225e-12	6.07807663090716e-10	5.02137645738267e-10	YOR078W/YMR014W/YGR271C-A/YKL143W/YPL226W/YDL213C/YLR048W/YKR057W/YDR159W/YGR081C/YMR269W/YDR457W/YLR435W	13
BP	GO:0042254	ribosome biogenesis	21/78	75/1474	2.42001554074338e-11	7.23584646682271e-09	5.97786294976611e-09	YOR078W/YMR014W/YGL078C/YGR271C-A/YKL143W/YPL226W/YDL213C/YDR432W/YKL057C/YHR034C/YJR063W/YNL248C/YLR048W/YKR057W/YOR001W/YDR083W/YDR159W/YGR081C/YMR269W/YDR457W/YLR435W	21
BP	GO:0006259	DNA metabolic process	39/78	277/1474	1.25688140057109e-10	2.81855654078067e-08	2.3285381736896e-08	YOR141C/YAL021C/YPL008W/YMR078C/YPR135W/YHR191C/YCL016C/YDR363W/YLR233C/YIL009C-A/YDR174W/YLR052W/YDR318W/YML062C/YLR320W/YMR224C/YKL057C/YAR002W/YCR066W/YKL113C/YNL250W/YML032C/YGL163C/YDR004W/YPL024W/YOR001W/YOR014W/YHR154W/YLL002W/YDR159W/YMR190C/YDL013W/YER116C/YLR182W/YOL072W/YHR167W/TLC1/YLR234W/YHR134W	39
BP	GO:0022613	ribonucleoprotein complex biogenesis	21/78	95/1474	3.18435094101606e-09	5.71272558818282e-07	4.7195432894217e-07	YOR078W/YMR014W/YGL078C/YGR271C-A/YKL143W/YPL226W/YDL213C/YDR432W/YKL057C/YHR034C/YJR063W/YNL248C/YLR048W/YKR057W/YOR001W/YDR083W/YDR159W/YGR081C/YMR269W/YDR457W/YLR435W	21
BP	GO:0000723	telomere maintenance	14/78	42/1474	6.76974193473184e-09	1.01207641924241e-06	8.36122512640564e-07	YLR233C/YIL009C-A/YLR052W/YMR224C/YNL250W/YML032C/YGL163C/YDR004W/YOR001W/YMR190C/YDL013W/YER116C/TLC1/YLR234W	14
BP	GO:0007064	mitotic sister chromatid cohesion	11/78	25/1474	1.10310092225775e-08	1.41354503895029e-06	1.16779405905181e-06	YER016W/YPL008W/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YPL024W/YLR234W	11
BP	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7/78	10/1474	9.41610251638923e-08	1.05578049465014e-05	8.72228443623423e-06	YOR078W/YGR271C-A/YLR048W/YKR057W/YGR081C/YDR457W/YLR435W	7
BP	GO:0007062	sister chromatid cohesion	12/78	38/1474	1.842424084378e-07	1.8362826707634e-05	1.51703690690305e-05	YER016W/YPL008W/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YDR318W/YPL024W/YOR014W/YLR234W	12
BP	GO:0030490	maturation of SSU-rRNA	8/78	15/1474	2.05385292177146e-07	1.842306070829e-05	1.52201311255485e-05	YOR078W/YMR014W/YGR271C-A/YLR048W/YKR057W/YGR081C/YDR457W/YLR435W	8
BP	GO:0006310	DNA recombination	21/78	121/1474	3.11460831029515e-07	2.53982150394068e-05	2.09826244061989e-05	YOR141C/YMR078C/YPR135W/YDR363W/YLR052W/YDR318W/YML062C/YLR320W/YMR224C/YKL113C/YNL250W/YML032C/YGL163C/YDR004W/YLL002W/YMR190C/YLR182W/YHR167W/TLC1/YLR234W/YHR134W	21
BP	GO:0035753	maintenance of DNA trinucleotide repeats	6/78	8/1474	4.68073560228236e-07	3.49884986270607e-05	2.89055952983051e-05	YMR078C/YHR191C/YCL016C/YMR224C/YKL113C/YNL250W	6
BP	GO:0016072	rRNA metabolic process	16/78	75/1474	5.8305068301058e-07	4.023049712773e-05	3.32362494606841e-05	YOR078W/YMR014W/YGL078C/YGR271C-A/YDL213C/YHR034C/YJR063W/YNL248C/YLR048W/YKR057W/YOR001W/YDR083W/YGR081C/YDR457W/YLR435W/YOR295W	16
BP	GO:0006364	rRNA processing	13/78	50/1474	6.87648622287034e-07	4.25426121222495e-05	3.51463931632502e-05	YOR078W/YMR014W/YGL078C/YGR271C-A/YDL213C/YHR034C/YLR048W/YKR057W/YOR001W/YDR083W/YGR081C/YDR457W/YLR435W	13
BP	GO:0000722	telomere maintenance via recombination	8/78	17/1474	7.11414918432265e-07	4.25426121222495e-05	3.51463931632502e-05	YLR052W/YNL250W/YML032C/YGL163C/YDR004W/YMR190C/TLC1/YLR234W	8
BP	GO:0006996	organelle organization	44/78	450/1474	9.56721078011921e-07	5.36361754360433e-05	4.43112920342364e-05	YER016W/YNL138W/YGL003C/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YDR363W/YLR233C/YIL009C-A/YDR174W/YLR052W/YMR294W/YDR318W/YLR320W/YMR224C/YKL057C/YML103C/YAR002W/YCR066W/YKL113C/YNL250W/YML032C/YGL163C/YDR004W/YPL024W/YLR048W/YOR001W/YOR014W/YLL002W/YDR159W/YMR190C/YDL013W/YER116C/YLR182W/YOL072W/YHR167W/TLC1/YDR457W/YLR234W/YGL060W	44
BP	GO:0006312	mitotic recombination	10/78	30/1474	1.23036314643315e-06	6.49197495500314e-05	5.36331674977669e-05	YOR141C/YLR052W/YKL113C/YNL250W/YML032C/YGL163C/YDR004W/YMR190C/TLC1/YLR234W	10
BP	GO:0006302	double-strand break repair	17/78	92/1474	2.15624738286668e-06	0.000107452994579523	8.8771822078254e-05	YOR141C/YMR078C/YPR135W/YDR363W/YLR320W/YMR224C/YKL057C/YAR002W/YKL113C/YNL250W/YML032C/YGL163C/YDR004W/YHR154W/YLL002W/YMR190C/YHR134W	17
BP	GO:0032200	telomere organization	15/78	75/1474	3.36043306373713e-06	0.000158647813588011	0.000131066198164595	YLR233C/YIL009C-A/YLR052W/YMR224C/YKL057C/YNL250W/YML032C/YGL163C/YDR004W/YOR001W/YMR190C/YDL013W/YER116C/TLC1/YLR234W	15
BP	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5/78	7/1474	7.07375437144438e-06	0.000317257883559281	0.000262101214605097	YOR078W/YGL078C/YLR048W/YKR057W/YDR457W	5
BP	GO:0000725	recombinational repair	12/78	52/1474	7.68630875937623e-06	0.000328315188436213	0.000271236158726861	YMR078C/YPR135W/YDR363W/YLR320W/YMR224C/YNL250W/YML032C/YGL163C/YDR004W/YLL002W/YMR190C/YHR134W	12
BP	GO:0051168	nuclear export	12/78	54/1474	1.17183122009453e-05	0.000468755256405723	0.000387260107386762	YKL143W/YML062C/YPL226W/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YGR081C/YDR395W/YOL072W/YHR167W	12
BP	GO:0006281	DNA repair	24/78	187/1474	1.20193655488647e-05	0.000468755256405723	0.000387260107386762	YOR141C/YPL008W/YMR078C/YPR135W/YDR363W/YLR320W/YMR224C/YKL057C/YAR002W/YCR066W/YKL113C/YNL250W/YML032C/YGL163C/YDR004W/YOR014W/YHR154W/YLL002W/YDR159W/YMR190C/YDL013W/YER116C/YOL072W/YHR134W	24
BP	GO:0007049	cell cycle	33/78	315/1474	1.46173143467803e-05	0.000515982155362832	0.000426276403655969	YER016W/YAL021C/YFR036W/YGL003C/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YGL240W/YGR271C-A/YDR363W/YMR294W/YDR318W/YLR320W/YMR224C/YLR315W/YNL250W/YML032C/YGL163C/YDR004W/YPL024W/YOR014W/YHR154W/YDR159W/YMR190C/YLR182W/YOL072W/YDR457W/YLR234W/YGL060W	33
BP	GO:0006913	nucleocytoplasmic transport	14/78	74/1474	1.49560045032705e-05	0.000515982155362832	0.000426276403655969	YPL125W/YKL143W/YML062C/YPL226W/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YGR081C/YDR395W/YOL072W/YHR167W/YDR457W	14
BP	GO:0051169	nuclear transport	14/78	74/1474	1.49560045032705e-05	0.000515982155362832	0.000426276403655969	YPL125W/YKL143W/YML062C/YPL226W/YKL057C/YML103C/YAR002W/YLR048W/YDR159W/YGR081C/YDR395W/YOL072W/YHR167W/YDR457W	14
BP	GO:0050000	chromosome localization	8/78	24/1474	1.58858512467557e-05	0.000527763280308883	0.000436009328565926	YMR078C/YPL018W/YHR191C/YCL016C/YKL057C/YAR002W/YOR014W/YHR154W	8
BP	GO:0000724	double-strand break repair via homologous recombination	11/78	47/1474	1.66624558024258e-05	0.000533793673384854	0.000440991311462697	YMR078C/YPR135W/YDR363W/YLR320W/YMR224C/YML032C/YGL163C/YDR004W/YLL002W/YMR190C/YHR134W	11
BP	GO:0006406	mRNA export from nucleus	9/78	32/1474	2.13511282877047e-05	0.00064890731561274	0.000536091944131161	YML062C/YPL226W/YKL057C/YML103C/YAR002W/YDR159W/YDR395W/YOL072W/YHR167W	9
BP	GO:0071103	DNA conformation change	8/78	25/1474	2.23697305292261e-05	0.00064890731561274	0.000536091944131161	YPL008W/YDR174W/YCR066W/YNL250W/YGL163C/YPL024W/YMR190C/YLR234W	8
BP	GO:0000460	maturation of 5.8S rRNA	6/78	13/1474	2.31494248602092e-05	0.00064890731561274	0.000536091944131161	YOR078W/YGL078C/YLR048W/YKR057W/YOR001W/YDR457W	6
BP	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	6/78	13/1474	2.31494248602092e-05	0.00064890731561274	0.000536091944131161	YOR078W/YGL078C/YLR048W/YKR057W/YOR001W/YDR457W	6
BP	GO:0022402	cell cycle process	29/78	264/1474	2.5813905641844e-05	0.000701668889719214	0.000579680688097549	YER016W/YAL021C/YGL003C/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YGR271C-A/YDR363W/YMR294W/YDR318W/YLR320W/YMR224C/YLR315W/YNL250W/YML032C/YGL163C/YDR004W/YPL024W/YOR014W/YHR154W/YMR190C/YLR182W/YOL072W/YLR234W/YGL060W	29
BP	GO:0051640	organelle localization	13/78	68/1474	2.80599177523274e-05	0.000740286653642284	0.000611584585066207	YER016W/YMR078C/YPL018W/YHR191C/YCL016C/YMR294W/YKL143W/YKL057C/YAR002W/YLR048W/YOR014W/YHR154W/YGR081C	13
BP	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4/78	5/1474	3.49427910329026e-05	0.00089553381590039	0.000739841349989878	YOR078W/YLR048W/YKR057W/YDR457W	4
BP	GO:0044085	cellular component biogenesis	30/78	283/1474	3.6218689783288e-05	0.000902449020433592	0.000745554316006863	YER016W/YOR078W/YMR014W/YNL138W/YGL003C/YEL061C/YGL078C/YGR271C-A/YKL143W/YDR318W/YPL226W/YDL213C/YDR432W/YKL057C/YHR034C/YML032C/YDR004W/YJR063W/YNL248C/YLR048W/YKR057W/YOR001W/YDR083W/YOR014W/YDR159W/YGR081C/YHR167W/YMR269W/YDR457W/YLR435W	30
BP	GO:0007004	telomere maintenance via telomerase	5/78	9/1474	3.90057175470823e-05	0.000908007295862985	0.000750146260972295	YLR233C/YIL009C-A/YNL250W/TLC1/YLR234W	5
BP	GO:0010833	telomere maintenance via telomere lengthening	5/78	9/1474	3.90057175470823e-05	0.000908007295862985	0.000750146260972295	YLR233C/YIL009C-A/YNL250W/TLC1/YLR234W	5
BP	GO:0043570	maintenance of DNA repeat elements	7/78	20/1474	3.94785780809994e-05	0.000908007295862985	0.000750146260972295	YMR078C/YHR191C/YCL016C/YMR224C/YKL113C/YNL250W/YLL002W	7
