Deletion	CorrCoefficient	Pvalue	Pvalue.FDR	Pvalue.FDR.quantile
hmo1	0.657908506320678	2.41312745564917e-292	1.77847493481344e-289	0.00248447204968944
nup120	0.654344272960792	3.84466476584714e-288	1.88901195495289e-285	0.00372670807453416
bud22	0.639935952351712	7.77739237539514e-272	2.86596909033311e-269	0.00496894409937888
bim1	0.633155391628825	2.09116504855854e-264	6.16475456315058e-262	0.0062111801242236
ctf19	0.628034292049741	6.45091018085073e-259	1.58477360109566e-256	0.00745341614906832
rrp8	0.625180327052052	6.67280734358381e-256	1.40510257492036e-253	0.00869565217391304
ctf18	0.620717224246291	2.99442229269329e-251	5.51722307428739e-249	0.00993788819875776
dcc1	0.616448788790465	7.16973306518719e-247	1.17424294867621e-244	0.0111801242236025
chl1	0.612362305113778	9.66735912537494e-243	1.42496873508027e-240	0.0124223602484472
efg1	0.606786592146061	3.33712203566834e-237	4.47174352779558e-235	0.0136645962732919
rpa12	0.603527136083496	5.1304034606745e-234	6.30184558419518e-232	0.0149068322981366
mft1	0.583562073568942	2.81660435509364e-215	3.19359601492925e-213	0.0161490683229814
sac3	0.57277429457299	1.10880933882102e-205	1.16741783244442e-203	0.0173913043478261
rps21a	0.571760848181145	1.03292968061328e-204	1.01502556614932e-202	0.0186335403726708
esc2	0.570449196308329	1.16540281980845e-203	1.07362734774853e-201	0.0198757763975155
ltv1	0.564893956753857	6.78767638021883e-199	5.88531469673091e-197	0.0211180124223602
nup188	0.5644534608014	1.94580141320361e-198	1.59339515725673e-196	0.022360248447205
uaf30	0.56168069875898	4.25894174280799e-196	3.30404217310473e-194	0.0236024844720497
thp1	0.558991745901133	6.25526124087457e-194	4.61012753452456e-192	0.0248447204968944
sfp1	0.557919110000059	4.8727940918481e-193	3.42023737684957e-191	0.0260869565217391
rad52	0.55376461054839	1.54839657429446e-189	1.03742570477729e-187	0.0273291925465838
rps0b	0.553110905896083	4.40959783411352e-189	2.82597704673188e-187	0.0285714285714286
rmi1	0.55100937305836	2.70514994894777e-187	1.66141292697876e-185	0.0298136645962733
bud21	0.540902248316124	2.5443887194966e-179	1.5001715890152e-177	0.031055900621118
rad18	0.540873909709311	3.18433015252601e-179	1.80527024800898e-177	0.0322981366459627
cin8	0.528072894804406	2.04218414851402e-169	1.11488127218876e-167	0.0335403726708075
ubp3	0.525981769328547	6.33938242138249e-168	3.33723203182778e-166	0.0347826086956522
tsr2	0.525728130326638	9.79238676208643e-168	4.97723382321221e-166	0.0360248447204969
ctf4	0.522523588704382	2.70604920073143e-165	1.32957217395938e-163	0.0372670807453416
mcm21	0.521842438915708	7.31042488389841e-165	3.47598912221492e-163	0.0385093167701863
thp2	0.521311607569564	1.79284895860161e-164	8.25831051555867e-163	0.0397515527950311
kap120	0.519554074664351	3.45583303860895e-163	1.543605423912e-161	0.0409937888198758
not4	0.515088426560954	5.88627755416697e-160	2.5518744455418e-158	0.0422360248447205
nup60	0.512330762196619	5.51225745914515e-158	2.32144785565141e-156	0.0434782608695652
est3	0.509759444121448	4.25370049348946e-156	1.74165403538985e-154	0.0447204968944099
pih1	0.509291055969162	9.09583869018573e-156	3.6235854673875e-154	0.0459627329192547
sgs1	0.5081430502734	5.02021510811929e-155	1.94731501825469e-153	0.0472049689440994
ctf8	0.503494112551763	8.67076933464158e-152	3.27710615365684e-150	0.0484472049689441
wss1	0.497903390822693	5.82708109859147e-148	2.14727938483096e-146	0.0496894409937888
tom1	0.497320180921673	1.4475398165016e-147	5.20408216956917e-146	0.0509316770186335
cdh1	0.496933982253786	2.64176929485506e-147	9.27135223956276e-146	0.0521739130434783
new1	0.494747703417084	9.02948627738665e-146	3.09522390066696e-144	0.053416149068323
sxm1	0.490080855198643	1.00622631647998e-142	3.37085816020793e-141	0.0546583850931677
top3	0.490010744900799	1.11949465806859e-142	3.66696694665134e-141	0.0559006211180124
rad50	0.48881471947063	6.88100829472521e-142	2.2049143970489e-140	0.0571428571428571
slx9	0.488445949169701	1.20275923406487e-141	3.77205768300344e-140	0.0583850931677019
ies6	0.487455569573575	6.15247701482931e-141	1.8893231499705e-139	0.0596273291925466
slx5	0.48477165272342	3.457218380203e-139	1.03998773314678e-137	0.0608695652173913
npl3	0.48441108174171	5.18128509024426e-139	1.52744284460401e-137	0.062111801242236
mms22	0.483215487952877	3.07786908405528e-138	8.89564515666173e-137	0.0633540372670807
bre5	0.482984589209644	4.95576278778194e-138	1.40476814407511e-136	0.0645962732919255
rad57	0.479385207585764	1.00804349367661e-135	2.80350209373457e-134	0.0658385093167702
jnm1	0.478198525912297	5.03525421527921e-135	1.37443790987436e-133	0.0670807453416149
ies3	0.474239985470465	1.58576014438596e-132	4.24983718695437e-131	0.0683229813664596
mot3	0.472053889553392	4.17524375425081e-131	1.09898380245816e-129	0.0695652173913043
swi6	0.466229391371383	1.4328277854625e-127	3.70524237854689e-126	0.0708074534161491
est1	0.465741451540564	3.21374671264935e-127	8.16734940421576e-126	0.0720496894409938
rtt107	0.454407723401257	1.70892246035983e-120	4.2694096721532e-119	0.0732919254658385
rpa49	0.453502824753047	6.50258658383074e-120	1.59746877076108e-118	0.0745341614906832
nkp2	0.450240466543673	4.58675199605108e-118	1.09046329712569e-116	0.0770186335403727
tma23	0.446873435688415	3.97508848085543e-116	9.30044511235064e-115	0.0782608695652174
rad54	0.445159212270582	4.22317855432666e-115	9.72650810793359e-114	0.0795031055900621
slx8	0.436887286484608	1.65922247086352e-110	3.76260603392743e-109	0.0807453416149068
rtt109	0.434435941304934	4.13590672805082e-109	9.2368583593135e-108	0.0819875776397515
ybp2	0.429598670468209	1.77518223253796e-106	3.90540091158351e-105	0.0832298136645963
arp8	0.426419845707399	8.17368960896942e-105	1.7717674240619e-103	0.084472049689441
cdc26	0.425139924105212	4.3468896917152e-104	9.28596435592493e-103	0.0857142857142857
rad27	0.422443553595693	1.05370201107034e-102	2.21879537759669e-101	0.0869565217391304
