Deletion	CorrCoefficient	Pvalue	Pvalue.FDR
hmo1	0.657982039504175	1.48593795542397e-292	1.09513627314747e-289
nup120	0.65440863269138	2.44340034278832e-288	1.20052403508999e-285
bud22	0.64000390467872	5.02233794051466e-272	1.85073153107965e-269
bim1	0.633367332383349	9.5398180352741e-265	2.81233835679881e-262
ctf19	0.628154400446923	3.74105607557999e-259	9.19052775900817e-257
rrp8	0.625166009075649	5.39051331462003e-256	1.13508808939285e-253
ctf18	0.620950834298991	1.34531237544985e-251	2.47873805176635e-249
dcc1	0.616609422159252	3.87215961793139e-247	6.34173697425652e-245
chl1	0.612604104955849	4.36897221598698e-243	6.43986504636481e-241
efg1	0.606817580861094	2.47220703735573e-237	3.31275743005668e-235
rpa12	0.603714428693689	2.68849534571169e-234	3.30236844964919e-232
mft1	0.583772833882366	1.47260913626128e-215	1.66971220526856e-213
sac3	0.573009668113452	5.65957617885476e-206	5.95872520545137e-204
rps21a	0.571986966827401	5.38559038344507e-205	5.29224015013202e-203
esc2	0.570637818058217	6.56801471075139e-204	6.05078355227972e-202
ltv1	0.564851582887168	6.08393645198036e-199	5.27513078248179e-197
nup188	0.564732076294713	9.31588847975554e-199	7.62867756619981e-197
uaf30	0.561882284516597	2.3847250628549e-196	1.85004460139375e-194
thp1	0.559094123414123	4.26088575956925e-194	3.14027280480254e-192
sfp1	0.557937966979085	3.89993839526709e-193	2.73738533077319e-191
rad52	0.553857217780437	1.082681194194e-189	7.2539640010998e-188
rps0b	0.553169313896113	3.29087738521905e-189	2.10902315904908e-187
rmi1	0.55061886362037	4.6749443824708e-187	2.87119500823415e-185
rad18	0.540884530682268	2.62699065549912e-179	1.54887369048228e-177
bud21	0.540723147031227	2.95536464750687e-179	1.67546441939428e-177
cin8	0.52835283536556	1.06889522129257e-169	5.83537613401944e-168
ubp3	0.525995337134037	5.26643573586008e-168	2.7724022409492e-166
tsr2	0.525918513082716	6.00839291903362e-168	3.05392109057088e-166
ctf4	0.522677028357328	1.77827657994955e-165	8.73726559615212e-164
mcm21	0.521835724955275	6.3060171382423e-165	2.99840943928037e-163
thp2	0.521434185264458	1.24349861583741e-164	5.72786549920107e-163
kap120	0.519663358894133	2.45711138032866e-163	1.09750974988013e-161
not4	0.515305513031837	3.52179065415383e-160	1.52679983065375e-158
nup60	0.512366910954796	4.46053223629891e-158	1.87852129037274e-156
est3	0.51010268308494	2.09421320965684e-156	8.57463964176162e-155
pih1	0.508841484622283	1.62186526723741e-155	6.46116055110255e-154
sgs1	0.507377755659243	1.48720722847891e-154	5.76879856520504e-153
ctf8	0.503849142738658	4.25509491531945e-152	1.60820766799509e-150
wss1	0.49760383025529	8.06597624602308e-148	2.97231224665951e-146
tom1	0.497351293596738	1.19610787805872e-147	4.3001536884355e-146
