Condition	HyperGpval	HyperGpvalFDR
rrp8	1.33001153678153e-90	1.9591069936792e-87
efg1	1.21385849310364e-73	8.94006780170829e-71
rpa12	1.2133861091047e-47	5.95772579570406e-45
ybp2	2.1028479624355e-33	7.74373762166872e-31
ies3	3.33709340447783e-32	9.83107716959169e-30
bud21	1.67758138478939e-31	4.11846229965795e-29
new1	4.12932580220489e-31	8.68928129521115e-29
bud22	5.97610002056955e-27	1.10034941628737e-24
pih1	3.91932637865046e-23	6.41463083972459e-21
bim1	2.07576410084394e-22	3.05760052054313e-20
hmo1	1.44881103513865e-21	1.94008968614476e-19
chl1	1.76449586514907e-21	2.16591867447048e-19
nup188	4.0605307837499e-20	4.60089372651047e-18
nup120	1.6780950196527e-19	1.76559568853459e-17
ssf1	2.05661338914101e-19	2.01959434813647e-17
esc2	8.38159548722262e-19	7.71630634542432e-17
cgi121	1.836974993647e-18	1.59168480331884e-16
est1	1.21894455074595e-17	9.97502957360438e-16
cdh1	2.16370773874067e-17	1.67744289429737e-15
rmi1	3.20668009379533e-16	2.36171988908026e-14
nop6	5.95668723676696e-16	4.17819061893225e-14
uaf30	9.92260145300068e-16	6.64363270012272e-14
rps21a	1.21190663175371e-15	7.76147160249221e-14
cin8	4.39985962621115e-15	2.70041384558709e-13
cdc26	7.96270381878778e-15	4.69162509002976e-13
rts1	3.00215053256914e-14	1.70083374402859e-12
nfi1	3.76004747977213e-14	2.05131479174235e-12
ltv1	5.20193858171284e-14	2.73659126102251e-12
mft1	1.82869670840808e-13	9.28851810856933e-12
dcc1	5.59481553590422e-13	2.74705442812897e-11
rad18	1.4606959473219e-12	6.94066171098436e-11
slx9	5.8124951881643e-12	2.67556419130188e-10
tma23	6.80069463736465e-11	3.03558278813276e-09
ctf19	8.79170827457556e-11	3.80887832013229e-09
rtt107	1.77855214503799e-10	7.48516374183133e-09
jnm1	2.61171513718382e-10	1.06862677696438e-08
dbp3	2.93561161359931e-10	1.16869078563021e-08
gpa2	1.15204585232053e-08	4.46569352754773e-07
ctf18	2.98950079838079e-08	1.12911145538844e-06
ela1	3.51221973651165e-08	1.2875431342315e-06
rsa3	3.58379283798312e-08	1.2875431342315e-06
yku70	3.9953001438575e-08	1.40120883616717e-06
arx1	1.0397836301992e-07	3.54256877590604e-06
pmd1	1.05820112790133e-07	3.54256877590604e-06
esc1	1.6234470458511e-07	5.31408333008595e-06
kap120	2.24208774893315e-07	7.1795549003881e-06
nap1	2.9201572055472e-07	9.15189694419368e-06
mnd2	3.32518972547828e-07	1.02041759700615e-05
thp2	5.73443328114834e-07	1.72384086186357e-05
top3	1.13713861836293e-06	3.35001036969718e-05
swm1	1.83325768455501e-06	5.29487954774417e-05
mcm21	1.96288304418129e-06	5.56024370015201e-05
ctf8	2.1723005701514e-06	6.03735611289247e-05
gat2	2.8858154503799e-06	7.87186325631406e-05
mvb12	3.32378045569782e-06	8.90168838407799e-05
mrc1	4.64986708948242e-06	0.000122308111121564
tom1	5.13931677003302e-06	0.000132810764951906
yku80	5.3726673685543e-06	0.000136447224722077
dun1	5.85164112681025e-06	0.000146092667454093
nop12	6.68888738759673e-06	0.0001642121853655
pol32	8.85331449772062e-06	0.000213785774674467
bud20	9.58460604238272e-06	0.000227711688716609
mlp2	1.67703624362383e-05	0.000392107045533
uba3	2.33742516236699e-05	0.000537973010026027
rad57	3.2795775659859e-05	0.000743202731491882
dbr1	3.4439800478102e-05	0.000768633728852185
rad55	4.34942105533751e-05	0.000956223464852561
rad27	4.83634716133017e-05	0.00104763814244696
pib2	5.60921568365874e-05	0.00119744560898976
cln1	5.91555071826631e-05	0.00124480088685804
lrp1	9.72315128240061e-05	0.00201721152661635
pdr1	9.94726732236219e-05	0.0020350451063666
sac3	0.00011880623099139	0.00239728189383997
psh1	0.000133053811472775	0.00264849005809997
