Geneid,Chr,Start,End,Strand,Length
YDL248W,IV,1802,2953,+,1152
YDL247W-A,IV,3762,3836,+,75
YDL247W,IV,5985,7814,+,1830
YDL246C,IV,8683,9756,-,1074
YDL245C,IV,11657,13360,-,1704
YDL244W,IV,16204,17226,+,1023
YDL243C,IV,17577,18566,-,990
YDL242W,IV,18959,19312,+,354
YDL241W,IV,20635,21006,+,372
YDL240C-A,IV,22471,22608,-,138
YDL240W,IV,22823,25876,+,3054
YDL239C,IV,26403,28775,-,2373
YDL238C,IV,28985,30454,-,1470
YDL237W,IV,30657,31829,+,1173
YDL236W,IV,32296,33234,+,939
YDL235C,IV,33415,33918,-,504
YDL234C,IV,34237,36477,-,2241
YDL233W,IV,36797,38173,+,1377
YDL232W,IV,38487,38597,+,111
YDL231C,IV,38867,42244,-,3378
YDL230W,IV,42700,43707,+,1008
YDL229W,IV,44065,45906,+,1842
YDL228C,IV,45277,45918,-,642
YDL227C,IV,46271,48031,-,1761
YDL226C,IV,51115,52173,-,1059
YDL225W,IV,52445,54100,+,1656
YDL224C,IV,54397,56346,-,1950
YDL223C,IV,57265,60405,-,3141
YDL222C,IV,60872,61801,-,930
YDL221W,IV,62011,62562,+,552
YDL220C,IV,62244,65018,-,2775
YDL219W,IV;IV,65242;65378,65306;65765,+;+,453
YDL218W,IV,66493,67446,+,954
YDL217C,IV,67983,68606,-,624
YDL216C,IV,68997,70319,-,1323
YDL215C,IV,70640,73918,-,3279
YDL214C,IV,74446,76545,-,2100
YDL213C,IV,77289,77966,-,678
YDL212W,IV,78426,79058,+,633
YDL211C,IV,79294,80412,-,1119
tG(GCC)D1,IV,83548,83618,+,71
YDL210W,IV,84270,85985,+,1716
YDL209C,IV,86207,87226,-,1020
YDL208W,IV,87512,87982,+,471
YDL207W,IV,88248,89864,+,1617
YDL206W,IV,90176,92464,+,2289
YDL205C,IV,92762,93745,-,984
YDL204W,IV,94605,95786,+,1182
YDL203C,IV,96082,97953,-,1872
YDL202W,IV,98475,99224,+,750
YDL201W,IV,99561,100421,+,861
YDL200C,IV,100501,101067,-,567
YDL199C,IV,101290,103353,-,2064
YDL198C,IV,103649,104551,-,903
YDL197C,IV,104917,106494,-,1578
YDL196W,IV,106741,107070,+,330
YDL195W,IV,107208,111029,+,3822
YDL194W,IV,111580,114234,+,2655
YDL193W,IV,114672,115799,+,1128
YDL192W,IV,116321,116866,+,546
YDL191W,IV;IV,117664;118158,117666;118517,+;+,363
YDL190C,IV,118707,121592,-,2886
YDL189W,IV,122216,123589,+,1374
YDL188C,IV,123865,124998,-,1134
YDL187C,IV,125509,125838,-,330
YDL186W,IV,125616,126449,+,834
YDL185C-A,IV,126608,126835,-,228
YDL185W,IV,126787,130002,+,3216
YDL184C,IV,130407,130484,-,78
YDL183C,IV,130871,131833,-,963
YDL182W,IV,133437,134723,+,1287
YDL181W,IV,135179,135436,+,258
YDL180W,IV,135896,137539,+,1644
YDL179W,IV,138291,139205,+,915
YDL178W,IV,139522,141114,+,1593
YDL177C,IV,141209,141721,-,513
YDL176W,IV,142097,144223,+,2127
YDL175C,IV,144484,145518,-,1035
YDL174C,IV,145826,147589,-,1764
YDL173W,IV,148191,149078,+,888
YDL172C,IV,148607,149086,-,480
YDL171C,IV,149203,155640,-,6438
YDL170W,IV,156318,157904,+,1587
YDL169C,IV,158064,158735,-,672
YDL168W,IV,159604,160764,+,1161
YDL167C,IV,160995,163154,-,2160
YDL166C,IV,163449,164042,-,594
YDL165W,IV,164290,164865,+,576
YDL164C,IV,164987,167254,-,2268
YDL163W,IV,166956,167258,+,303
YDL162C,IV,167359,167715,-,357
YDL161W,IV,167714,169078,+,1365
YDL160C-A,IV,169366,169608,-,243
YDL160C,IV,170410,171930,-,1521
YDL159W-A,IV,172182,172313,+,132
YDL159W,IV,172481,174028,+,1548
YDL159C-B,IV,173056,173232,-,177
YDL158C,IV,173866,174174,-,309
YDL157C,IV,174232,174588,-,357
YDL156W,IV,174918,176486,+,1569
YDL155W,IV,176773,178056,+,1284
YDL154W,IV,178334,181039,+,2706
YDL153C,IV,181186,183018,-,1833
YDL152W,IV,182822,183187,+,366
YDL151C,IV,183318,183899,-,582
YDL150W,IV,183343,184611,+,1269
YDL149W,IV,184925,187918,+,2994
YDL148C,IV,188154,190586,-,2433
YDL147W,IV,190924,192261,+,1338
YDL146W,IV,192750,194225,+,1476
YDL145C,IV,194571,198176,-,3606
YDL144C,IV,198662,199732,-,1071
YDL143W,IV,199996,201582,+,1587
YDL142C,IV,201719,202570,-,852
YDL141W,IV,203039,205111,+,2073
YDL140C,IV,205360,210561,-,5202
YDL139C,IV,211375,212046,-,672
YDL138W,IV,213351,215642,+,2292
YDL137W,IV,216529,217074,+,546
YDL136W,IV;IV,217600;218008,217602;218367,+;+,363
YDL135C,IV,218680,219288,-,609
YDL134C,IV,219662,220771,-,1110
YDL133C-A,IV,221724,221801,-,78
YDL133W,IV,222427,223740,+,1314
YDL132W,IV,224304,226751,+,2448
YDL131W,IV,227393,228715,+,1323
YDL130W-A,IV,229171,229431,+,261
YDL130W,IV;IV,229906;230321,230019;230527,+;+,321
YDL129W,IV,231024,231899,+,876
YDL128W,IV,232652,233887,+,1236
YDL127W,IV,234927,235853,+,927
YDL126C,IV,236157,238664,-,2508
YDL125C,IV;IV,239019;239510,239398;239606,-;-,477
YDL124W,IV,240259,241197,+,939
YDL123W,IV,241418,241840,+,423
YDL122W,IV,242552,244981,+,2430
YDL121C,IV,245133,245582,-,450
YDL120W,IV,245923,246447,+,525
YDL119C,IV,246689,247612,-,924
YDL118W,IV,247302,247682,+,381
YDL117W,IV,248581,251238,+,2658
YDL116W,IV,251566,253746,+,2181
YDL115C,IV;IV,253995;255045,254974;255126,-;-,1062
YDL114W-A,IV,254935,255048,+,114
YDL114W,IV,255604,256530,+,927
YDL113C,IV,256633,258555,-,1923
YDL112W,IV,258915,263225,+,4311
YDL111C,IV,263313,264110,-,798
YDL110C,IV,264512,264964,-,453
YDL109C,IV,265258,267201,-,1944
YDL108W,IV;IV,267698;267807,267725;268699,+;+,921
YDL107W,IV,268921,269976,+,1056
YDL106C,IV,270222,271901,-,1680
YDL105W,IV,272389,273597,+,1209
YDL104C,IV,273653,274876,-,1224
YDL103C,IV,275148,276581,-,1434
YDL102W,IV,276872,280165,+,3294
YDL101C,IV,280307,281848,-,1542
YDL100C,IV,282112,283176,-,1065
YDL099W,IV,283419,284444,+,1026
YDL098C,IV,284581,285165,-,585
YDL097C,IV,285391,286695,-,1305
YDL096C,IV,286998,287324,-,327
YDL095W,IV,287059,289512,+,2454
YDL094C,IV,289572,290081,-,510
YDL093W,IV,289909,292140,+,2232
YDL092W,IV,292781,293221,+,441
YDL091C,IV,293392,294759,-,1368
YDL090C,IV,295034,296329,-,1296
YDL089W,IV,296820,298274,+,1455
YDL088C,IV,298417,300003,-,1587
YDL087C,IV,300214,300999,-,786
YDL086W,IV,301413,302234,+,822
YDL086C-A,IV,301655,302089,-,435
YDL085C-A,IV,302464,302670,-,207
YDL085W,IV,303211,304848,+,1638
YDL084W,IV,305237,306577,+,1341
YDL083C,IV;IV,306926;307766,307333;307789,-;-,432
YDL082W,IV;IV,308424;308793,308427;309388,+;+,600
YDL081C,IV,309802,310122,-,321
YDL080C,IV,310642,312471,-,1830
YDL079C,IV;IV,312951;314337,314044;314748,-;-,1506
YDL078C,IV,315357,316388,-,1032
YDL077C,IV,316971,320120,-,3150
YDL076C,IV,320668,321552,-,885
YDL075W,IV;IV,322226;322704,322282;322988,+;+,342
snR63,IV,323217,323471,-,255
YDL074C,IV,324047,326149,-,2103
YDL073W,IV,326613,329567,+,2955
YDL072C,IV,329836,330447,-,612
YDL071C,IV,330666,331040,-,375
YDL070W,IV,331024,332940,+,1917
YDL069C,IV,333121,333810,-,690
YDL068W,IV,333500,333829,+,330
YDL067C,IV,334217,334396,-,180
YDL066W,IV,334835,336121,+,1287
YDL065C,IV,336249,337277,-,1029
YDL064W,IV;IV,337487;337635,337524;338070,+;+,474
YDL063C,IV,338272,340134,-,1863
YDL062W,IV,339857,340282,+,426
YDL061C,IV,340628,340798,-,171
YDL060W,IV,341619,343985,+,2367
YDL059C,IV,344237,344953,-,717
YDL058W,IV,345665,351037,+,5373
YDL057W,IV,351434,352420,+,987
YDL056W,IV,352877,355378,+,2502
YDL055C,IV,355674,356759,-,1086
tK(UUU)D,IV;IV,359577;359637,359613;359672,+;+,73
YDL054C,IV,359825,361285,-,1461
YDL053C,IV,361699,362256,-,558
YDL052C,IV,362672,363583,-,912
YDL051W,IV,363952,364779,+,828
YDL050C,IV,364446,364817,-,372
YDL049C,IV,365068,365874,-,807
YDL048C,IV,366739,368211,-,1473
YDL047W,IV,369771,370706,+,936
YDL046W,IV,371240,371761,+,522
YDL045W-A,IV,372248,372535,+,288
YDL045C,IV,372688,373608,-,921
YDL044C,IV,373967,375289,-,1323
YDL043C,IV,375680,376480,-,801
YDL042C,IV,376757,378445,-,1689
YDL041W,IV,378102,378455,+,354
YDL040C,IV,378874,381438,-,2565
YDL039C,IV,381985,384081,-,2097
YDL037C,IV,384601,385587,-,987
YDL036C,IV,387513,388901,-,1389
YDL035C,IV,389172,392057,-,2886
YDL034W,IV,391783,392127,+,345
YDL033C,IV,392659,393912,-,1254
YDL032W,IV,393690,394001,+,312
YDL031W,IV,394217,397204,+,2988
YDL030W,IV,397537,399129,+,1593
YDL029W,IV;IV,399340;399485,399361;400638,+;+,1176
YDL028C,IV,400997,403291,-,2295
YDL027C,IV,403695,404957,-,1263
YDL026W,IV,404749,405060,+,312
YDL025C,IV,405344,407206,-,1863
YDL025W-A,IV,405410,405514,+,105
YDL024C,IV,408451,409857,-,1407
YDL022C-A,IV,409808,410056,-,249
tA(AGC)D,IV,410379,410451,+,73
YDL023C,IV,411761,412081,-,321
YDL022W,IV,411825,413000,+,1176
YDL021W,IV,413953,414888,+,936
YDL020C,IV,415113,416708,-,1596
YDL019C,IV,417663,421514,-,3852
YDL018C,IV,422833,423510,-,678
YDL017W,IV,424209,425732,+,1524
YDL016C,IV,425570,425872,-,303
YDL015C,IV,426002,426934,-,933
YDL014W,IV,427364,428347,+,984
YDL013W,IV,429067,430926,+,1860
YDL012C,IV;IV,431108;431473,431386;431517,-;-,324
YDL011C,IV,432308,432631,-,324
YDL010W,IV,432330,433025,+,696
YDL009C,IV,432925,433248,-,324
YDL008W,IV,433497,433994,+,498
tT(AGU)D,IV,434264,434336,-,73
YDL007C-A,IV,436567,436824,-,258
tS(AGA)D1,IV,437772,437853,+,82
YDL007W,IV,438047,439360,+,1314
YDL006W,IV,439909,440754,+,846
YDL005C,IV,441014,442309,-,1296
YDL004W,IV,443029,443511,+,483
YDL003W,IV,444683,446383,+,1701
YDL002C,IV,446967,447578,-,612
YDL001W,IV,447984,449276,+,1293
YDR001C,IV,450220,452475,-,2256
YDR002W,IV,453045,453650,+,606
YDR003W,IV,454122,454754,+,633
YDR003W-A,IV,454782,454904,+,123
YDR004W,IV,455201,456583,+,1383
YDR005C,IV;IV,456836;458098,458017;458103,-;-,1188
YDR006C,IV,458542,461247,-,2706
YDR007W,IV,461842,462516,+,675
YDR008C,IV,462252,462602,-,351
YDR009W,IV,463434,464996,+,1563
YDR010C,IV,465051,465383,-,333
YDR011W,IV,465919,470424,+,4506
YDR012W,IV,471853,472941,+,1089
YDR013W,IV,473157,473783,+,627
